team,captain,key_players,strengths,weaknesses,batting_rating,bowling_rating,team_balance,experience_rating,squad_size,titles
Mumbai Indians,Hardik Pandya,"Jasprit Bumrah, Suryakumar Yadav, Rohit Sharma","World-class pace attack, explosive batting depth, experienced squad","Middle-order inconsistency, spinner dependency",88,92,90,95,15,5
Chennai Super Kings,Ruturaj Gaikwad,"MS Dhoni, Ruturaj Gaikwad, Ravindra Jadeja","Brilliant team culture, smart captaincy, reliable openers","Aging squad, pace bowling depth",85,82,88,93,15,5
Royal Challengers Bengaluru,Faf du Plessis,"Virat Kohli, Glenn Maxwell, Mohammed Siraj","Explosive top order, quality overseas players","Lower middle order fragile, death bowling consistency",91,80,83,90,15,0
Kolkata Knight Riders,Shreyas Iyer,"Sunil Narine, Andre Russell, Mitchell Starc","All-round balance, power hitters, mystery spinners",Inconsistent middle order,86,87,89,88,15,3
Rajasthan Royals,Sanju Samson,"Yashasvi Jaiswal, Jos Buttler, Yuzvendra Chahal","Explosive openers, quality spin attack, IPL-savvy core","Death bowling, no-name middle order",89,85,87,86,15,2
Sunrisers Hyderabad,Pat Cummins,"Travis Head, Heinrich Klaasen, Pat Cummins","Devastating batting lineup, pace variety","Spin bowling, lower batting order fragility",93,81,85,84,15,1
Delhi Capitals,Rishabh Pant,"Rishabh Pant, Axar Patel, Kuldeep Yadav","Dynamic wicket-keeper batter, quality spinners","Inconsistent top order, over-reliance on Pant",84,83,82,85,15,0
Punjab Kings,Shikhar Dhawan,"Liam Livingstone, Kagiso Rabada, Arshdeep Singh","Explosive batting, quality overseas pacers","Vulnerable spin department, no settled middle order",82,82,79,82,15,0
Gujarat Titans,Shubman Gill,"Shubman Gill, Rashid Khan, Mohammed Shami","Consistent batting, world-class spinner, lethal pace","Depend on Gill heavily, spin depth",87,88,88,83,15,1
Lucknow Super Giants,KL Rahul,"KL Rahul, Nicholas Pooran, Ravi Bishnoi","Top-order solidity, explosive overseas finishers","Death bowling, inconsistent spinners",85,80,81,84,15,0
